client_id,visitor_id,visit_id,process_step,date_time,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
9286288,918520136_75087044332,293880267_36842857291_840647,confirm,2017-04-16 19:55:52,Test,21.0,254.0,62.5,M,3.0,16320040.15,6.0,9.0
8339240,767840463_99901730899,458984732_28554850410_644190,confirm,2017-04-05 11:08:48,,6.0,80.0,26.5,M,2.0,12838418.01,3.0,3.0
7070097,123012502_20144264074,806095608_16180139947_47849,start,2017-04-07 16:20:54,Test,11.0,133.0,53.0,M,2.0,8986419.77,6.0,9.0
9440656,601521757_83549490902,475431614_49219379743_79256,start,2017-04-06 09:40:41,Control,7.0,94.0,63.0,F,2.0,8292996.21,6.0,9.0
2291985,45691677_55312446426,395652772_70664004028_947674,start,2017-04-08 19:43:35,Control,7.0,85.0,41.0,M,2.0,8247729.97,1.0,4.0
1678193,245587450_80330347973,139520603_4082367211_196960,confirm,2017-03-28 19:01:20,Test,24.0,299.0,65.5,M,3.0,8137343.24,6.0,9.0
6762377,211802240_55658786292,10111418_59591388284_939024,confirm,2017-03-30 15:54:10,Test,16.0,193.0,41.5,F,3.0,8045102.6,6.0,9.0
3519657,868828788_69115963227,510558681_82626972669_787743,confirm,2017-04-10 11:59:47,Control,18.0,218.0,66.5,M,6.0,7741994.01,6.0,9.0
987970,392394193_31726730290,214054210_65228809051_197198,step_1,2017-04-06 15:14:58,Control,14.0,179.0,74.5,M,3.0,7339443.17,4.0,9.0
857273,926472248_4724070140,956483039_55813648207_400368,start,2017-04-18 10:25:43,Control,31.0,376.0,56.5,M,5.0,6716305.28,6.0,9.0
5939963,285787424_20007489483,897131516_65381493242_253114,step_1,2017-04-17 12:11:10,,24.0,289.0,62.5,M,3.0,6628686.47,5.0,5.0
7959723,386201696_59581621365,634767124_10038769901_287348,confirm,2017-03-29 15:53:36,,21.0,261.0,56.5,M,3.0,6566425.13,7.0,7.0
3559689,217607504_28824678964,752453601_32522719115_808974,confirm,2017-03-30 16:57:24,,29.0,352.0,73.5,M,4.0,6387060.94,5.0,5.0
9290030,495552900_52184112910,41147908_98225468721_863240,confirm,2017-03-28 17:44:32,Test,28.0,341.0,67.5,M,4.0,6353000.43,5.0,8.0
5735570,791568744_53643584929,988718999_33146473613_611630,start,2017-05-01 20:02:59,Test,37.0,451.0,73.0,M,3.0,6000386.82,6.0,9.0
3545814,465608850_45009183511,416293838_23892754049_547527,start,2017-05-02 10:12:12,Test,13.0,163.0,59.0,M,3.0,5754204.68,6.0,9.0
8056743,100989528_70474324378,797190957_39038390157_576206,start,2017-03-29 11:53:15,,13.0,160.0,63.0,M,3.0,5745578.16,7.0,7.0
2243576,228275427_11786025088,26550948_11647709518_410969,start,2017-03-29 19:06:13,Test,11.0,136.0,62.0,M,2.0,5544842.49,6.0,9.0
8700059,925978366_65121284893,615316637_81637912683_169030,step_1,2017-04-09 17:36:19,Test,11.0,132.0,65.0,M,2.0,5439354.9,3.0,6.0
6765532,947377932_30629967713,755085252_84206612056_543977,start,2017-04-24 17:12:20,Test,28.0,336.0,56.0,M,3.0,5187970.13,5.0,8.0
5799151,482880199_8908683359,914530519_20762813510_260229,step_2,2017-04-05 17:29:17,Control,21.0,254.0,56.0,M,3.0,5137641.69,6.0,9.0
8841326,264271788_46317767473,438388378_16540376776_347500,step_3,2017-03-29 13:31:24,Control,32.0,391.0,60.5,F,2.0,5085307.11,6.0,9.0
9848978,949386765_79437669722,222094278_62533651819_828342,confirm,2017-04-03 11:16:39,Test,6.0,78.0,38.5,U,3.0,4862430.04,6.0,9.0
8962152,477339368_23073690877,260937306_98075637619_150143,confirm,2017-04-22 11:22:45,Control,11.0,141.0,57.5,M,2.0,4753214.1,6.0,9.0
6981798,426941870_48657881575,682751549_29649791496_869567,start,2017-04-05 11:37:16,Control,9.0,108.0,44.5,M,3.0,4739012.27,4.0,7.0
7991760,332860977_19013198653,144678588_79526814612_977474,confirm,2017-05-11 16:42:04,Control,30.0,363.0,53.0,M,3.0,4730367.72,6.0,9.0
2935280,812783749_40575159184,336725149_13691767398_321159,step_1,2017-04-05 12:25:08,,30.0,370.0,66.5,M,4.0,4691835.72,7.0,7.0
1310232,492269324_99695555517,346076118_92522415944_273828,start,2017-05-05 15:55:09,,4.0,58.0,53.0,M,2.0,4684076.16,7.0,7.0
4179430,680319082_92639034648,310330593_55820292417_613121,confirm,2017-03-30 12:51:15,Test,9.0,117.0,66.5,M,2.0,4635079.65,6.0,9.0
9990452,355346252_3309273240,692204120_12929112429_235598,confirm,2017-04-24 17:38:22,Control,27.0,335.0,35.5,M,3.0,4607206.68,5.0,8.0
606032,476609956_51576127723,983341366_73201074516_179885,step_2,2017-04-06 07:11:06,Control,14.0,178.0,66.0,M,3.0,4555876.35,6.0,9.0
9578246,870792531_94592027224,8506684_15498915089_127976,confirm,2017-04-18 13:23:01,Test,12.0,150.0,57.5,M,3.0,4524462.7,3.0,6.0
6146018,762768989_53473109921,963834268_65307874074_373043,start,2017-04-15 14:40:51,,24.0,288.0,54.0,F,5.0,4522753.41,4.0,4.0
6271257,652994960_11446658299,813553272_85832121261_156875,confirm,2017-04-07 12:34:54,Test,22.0,269.0,54.5,M,3.0,4520925.83,6.0,9.0
3759883,257575912_3748057179,62785888_13168460872_578244,confirm,2017-04-03 12:57:15,Test,13.0,164.0,62.5,F,3.0,4479344.82,6.0,9.0
9362246,819428078_82747691405,204640090_46578746454_653354,confirm,2017-04-10 17:51:11,Test,32.0,394.0,60.5,M,4.0,4477199.95,6.0,9.0
129659,228212334_78576161883,884035256_70279510759_739062,confirm,2017-03-15 14:40:33,Control,15.0,182.0,67.5,M,3.0,4467812.83,6.0,9.0
2289261,428945152_13212168627,863048650_53049260817_591456,confirm,2017-04-12 11:19:35,Test,6.0,79.0,38.5,M,2.0,4466421.83,6.0,9.0
4121411,533728372_61054018505,691140585_78166451607_710873,confirm,2017-03-29 19:40:05,,17.0,213.0,62.5,F,3.0,4452908.73,7.0,7.0
3620034,900339339_30870118824,415113052_36950089061_287155,confirm,2017-04-18 21:33:18,,6.0,72.0,55.5,M,4.0,4422127.11,6.0,7.0
6266083,246813049_58149385407,820303012_98838607436_507105,confirm,2017-04-05 11:06:51,,13.0,156.0,36.5,M,2.0,4419093.17,2.0,2.0
6967120,663474827_38847225720,923772865_74694577233_449836,confirm,2017-04-12 19:06:55,Control,21.0,260.0,68.5,M,3.0,4279873.38,6.0,9.0
937877,597100115_90941678326,290433486_80176619742_133263,confirm,2017-04-16 15:51:55,Test,25.0,303.0,54.5,M,4.0,4269751.96,6.0,9.0
2245262,826944403_28609353149,894669721_44398909541_323192,confirm,2017-04-08 14:11:13,Test,18.0,225.0,72.5,M,4.0,4180554.55,6.0,9.0
3840858,182241333_21281600839,589418443_98239316567_659957,start,2017-04-13 16:47:45,Control,9.0,114.0,54.0,F,2.0,4164156.15,5.0,8.0
8009251,635950050_9776572649,191028554_41436942109_165640,confirm,2017-04-05 14:34:40,,23.0,282.0,49.5,M,3.0,4147829.56,7.0,7.0
6076924,51405287_33737838264,577381887_57019691390_349016,step_1,2017-04-03 19:50:50,Control,18.0,225.0,59.5,M,4.0,4024657.4,2.0,6.0
1270300,332098307_13328306031,409686872_39702185521_749200,start,2017-05-16 12:29:05,Control,23.0,287.0,56.0,F,3.0,4011854.79,5.0,8.0
2220861,364252104_61841911055,140910751_261144425_889690,start,2017-04-25 11:44:50,Test,11.0,134.0,70.0,M,2.0,3990453.14,6.0,9.0
7776888,303206700_21153590133,608339898_58927258915_522062,start,2017-04-23 16:46:05,Control,28.0,341.0,59.0,F,2.0,3986272.4,6.0,9.0
6751153,521411084_79126455134,447598741_65948017594_690639,start,2017-03-31 03:05:51,,29.0,357.0,51.0,M,3.0,3981706.33,7.0,7.0
8591099,315964375_31456342933,117041273_16701517670_457286,start,2017-05-10 20:28:18,Test,29.0,348.0,65.0,M,3.0,3933502.78,4.0,8.0
5511653,205019645_17192009331,795313611_60703055246_755591,confirm,2017-03-29 19:08:46,Test,25.0,305.0,63.5,M,2.0,3902950.39,5.0,8.0
426756,62761830_98394786618,440582363_20658002525_786513,start,2017-06-04 16:59:55,Control,26.0,322.0,53.0,F,3.0,3878836.33,2.0,5.0
7225964,288167198_3558630017,802287997_8168713021_912564,confirm,2017-04-05 14:05:56,,23.0,276.0,64.5,M,5.0,3834819.11,7.0,7.0
8337723,815273936_73263244202,605696915_13829772695_391227,confirm,2017-04-18 16:47:53,Test,29.0,357.0,61.5,M,4.0,3793339.35,5.0,8.0
9245820,288868525_15754021057,331814147_10520382206_783034,start,2017-03-19 16:29:12,Control,20.0,240.0,67.5,M,3.0,3757751.57,6.0,9.0
1987005,118203274_27569475113,709143219_61022511752_325307,confirm,2017-04-16 11:01:15,Test,20.0,240.0,41.5,F,3.0,3736556.05,5.0,8.0
9194684,21152270_65948758267,492271864_76538345715_378670,confirm,2017-04-21 16:15:23,,28.0,342.0,45.5,M,2.0,3733367.1,7.0,7.0
4051804,372801181_93056118916,384685520_537891156_816394,confirm,2017-03-29 17:56:17,Control,26.0,322.0,47.5,M,3.0,3722386.06,6.0,9.0
8825788,86327446_72966808717,19325242_49276988341_790955,step_1,2017-04-04 23:02:24,Control,28.0,336.0,81.5,U,3.0,3718908.15,6.0,9.0
1556389,824450316_83475442473,946399103_68289067363_460868,start,2017-06-07 12:15:50,Test,14.0,174.0,48.0,F,2.0,3702970.05,0.0,5.0
6434122,807454842_62797293054,834182428_70757813060_597843,confirm,2017-06-10 14:41:58,,15.0,187.0,69.0,U,3.0,3694377.4,7.0,7.0
2686458,182766991_33152985337,799990292_21979897624_404315,confirm,2017-04-18 11:17:24,Test,23.0,280.0,60.5,M,3.0,3647710.43,0.0,4.0
4848547,905140154_30911953781,454010319_64526527904_696822,start,2017-04-09 14:49:58,Control,29.0,353.0,70.0,M,4.0,3641889.26,6.0,9.0
168267,943039028_27492766118,449079904_16352573871_907879,start,2017-05-01 23:49:22,,13.0,162.0,63.0,M,3.0,3617156.74,7.0,7.0
2429823,102805316_1178970620,401603303_80827543460_621804,confirm,2017-03-29 15:56:14,,15.0,181.0,60.5,M,2.0,3609820.84,7.0,7.0
4256611,831780583_36177704744,886002674_27935797230_701388,confirm,2017-03-27 18:02:41,Test,24.0,292.0,51.5,M,3.0,3592350.6,6.0,9.0
9545139,518124989_27598278086,381548815_13488666303_26574,confirm,2017-04-04 10:11:47,Test,21.0,261.0,51.5,M,4.0,3577649.07,6.0,9.0
2643498,873754662_20425663545,710964131_39507961068_841066,step_1,2017-04-02 13:21:35,,34.0,408.0,58.5,F,3.0,3574882.5,3.0,4.0
6022010,149651748_49630891236,343933193_26895401551_943987,step_2,2017-04-05 17:15:37,Control,6.0,78.0,32.5,U,4.0,3569381.23,1.0,4.0
7927402,613943285_26077242521,635185976_98245087662_54683,confirm,2017-05-12 06:15:28,Test,7.0,84.0,50.0,U,3.0,3558899.76,6.0,9.0
2053174,858268436_78440864598,919619783_27800129368_25907,confirm,2017-04-09 11:54:18,Test,18.0,224.0,48.5,M,3.0,3553298.1,6.0,9.0
9226597,233376021_29983588653,117265243_76878376097_295294,step_1,2017-03-30 10:55:15,Control,31.0,381.0,67.0,M,3.0,3552737.22,6.0,9.0
8244716,830029337_7097976439,506227549_92897618662_427087,start,2017-04-15 13:45:03,Test,28.0,346.0,73.5,M,3.0,3544460.02,6.0,9.0
3294129,497819252_46389369674,332390788_20648836865_134635,confirm,2017-03-22 19:06:05,Test,22.0,275.0,65.5,F,5.0,3521989.41,4.0,7.0
4767794,723667132_57324003828,868659974_97660972261_241353,start,2017-04-12 14:13:15,Control,22.0,272.0,46.0,M,2.0,3494732.32,5.0,8.0
3612499,287248957_23323289903,183989404_4708553852_821258,start,2017-03-30 13:02:52,Test,22.0,275.0,59.0,M,2.0,3490121.2,4.0,7.0
2781315,500141128_75753557211,95180647_52298086633_656008,confirm,2017-04-02 20:35:22,,27.0,331.0,64.5,M,3.0,3481206.88,3.0,3.0
3864477,639245590_81878779763,345207157_90801815644_677920,start,2017-04-04 12:23:04,Control,28.0,336.0,80.0,M,5.0,3476006.84,6.0,9.0
4812426,52501536_76830924700,116273982_85765000980_28788,start,2017-03-15 10:15:29,,17.0,206.0,60.5,M,3.0,3463930.58,7.0,7.0
4365422,874200345_24198540987,201838651_58781098679_304417,start,2017-05-03 15:47:39,Test,27.0,327.0,50.0,F,3.0,3459338.21,3.0,6.0
6550009,747490354_2206922187,118790264_88393855362_814927,step_1,2017-04-07 09:36:21,Control,32.0,394.0,68.0,M,3.0,3457298.27,4.0,8.0
1177276,170628700_15398027232,442757814_30469422331_245716,start,2017-04-10 20:21:27,Test,20.0,244.0,61.0,U,5.0,3450821.16,6.0,9.0
5469951,157642772_82307048422,438456345_75851247866_402347,start,2017-03-29 14:29:09,,17.0,204.0,35.0,M,2.0,3447091.3,7.0,7.0
9499259,632193446_37936878838,106162458_13073625157_259055,confirm,2017-03-29 17:13:12,Control,15.0,185.0,64.5,M,2.0,3428511.36,5.0,8.0
3862559,640279728_24993452096,72156468_84585663236_569566,confirm,2017-03-27 14:46:13,Test,25.0,304.0,73.5,M,4.0,3394204.29,6.0,9.0
3104377,642071819_50171252699,869836597_54684062212_455583,step_3,2017-06-14 13:16:31,Test,34.0,417.0,63.0,F,3.0,3377435.0,5.0,8.0
4170232,667411220_40142468866,553062036_65470993434_339907,confirm,2017-04-02 17:42:30,Control,35.0,430.0,70.5,M,4.0,3354141.15,6.0,9.0
2579616,75027712_41754187753,220460744_84580257022_89239,confirm,2017-06-13 22:58:17,Test,31.0,379.0,60.0,M,4.0,3351539.77,2.0,5.0
8115034,254484466_29623097311,263955030_38519879473_568184,step_1,2017-04-02 15:34:43,Control,29.0,350.0,76.5,M,3.0,3301237.67,2.0,6.0
4311537,710417437_16381802191,836363282_96046705062_279410,confirm,2017-04-04 20:02:08,,9.0,119.0,69.5,M,3.0,3244645.61,7.0,7.0
5743376,300745630_36711030388,131348528_22231488950_128767,confirm,2017-04-15 12:08:55,Control,40.0,485.0,66.5,M,3.0,3228350.47,6.0,9.0
5986644,131267556_4730584177,145856423_69000746801_706086,step_3,2017-04-02 16:04:29,Test,18.0,216.0,74.0,M,4.0,3220673.11,6.0,9.0
7918624,150770119_1873771296,246409867_40456606033_781013,confirm,2017-05-15 04:56:56,,5.0,70.0,51.0,M,2.0,3210120.39,7.0,7.0
9893446,366131847_21844493537,920662997_85666842709_923353,step_3,2017-04-12 13:31:20,Test,29.0,353.0,65.0,M,3.0,3193269.83,6.0,9.0
2976295,196489393_50424431295,948696370_23810910643_664637,step_1,2017-04-29 08:13:20,,22.0,267.0,49.5,M,3.0,3191837.41,7.0,7.0
4473931,83956928_85744792726,378800166_90004744013_815269,confirm,2017-03-30 14:11:08,Control,27.0,335.0,65.5,F,3.0,3191769.31,3.0,7.0
8286876,715405325_67098450970,560242498_71814743449_59253,start,2017-04-13 09:55:55,Control,27.0,327.0,57.5,F,3.0,3189564.5,6.0,9.0
4193650,963090285_86381269630,746116439_37736982619_840636,confirm,2017-03-21 21:28:55,Control,28.0,340.0,43.5,M,3.0,3171343.45,6.0,9.0
